School Number,School Type,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment
342322,Public,20,15,15,15,10,15,0,0
532816,Public,0,0,0,0,0,0,10,20
4367,Public,15,10,10,10,10,10,0,0
194069,Public,25,20,10,15,40,20,0,0
165212,Public,0,0,0,0,0,0,115,85
497134,Public,40,30,30,35,25,20,0,0
572312,Public,0,0,0,0,0,0,70,60
156264,Public,0,0,0,0,0,0,25,30
165417,Public,30,25,25,20,20,30,0,0
282260,Public,55,50,50,55,45,50,0,0
156183,Public,0,0,0,0,0,0,115,120
165395,Public,20,25,20,20,15,35,0,0
156256,Public,35,55,40,45,25,60,0,0
419354,Public,15,20,10,15,20,10,10,10
165450,Public,20,20,35,15,15,10,0,0
302481,Public,15,20,15,10,15,15,0,0
19735,Public,60,75,65,80,45,50,0,0
191313,Public,50,50,60,30,20,40,0,0
32247,Public,20,40,35,35,40,50,0,0
165000,Public,20,25,20,20,65,15,15,10
309192,Public,30,25,20,75,35,30,0,0
442869,Public,0,0,0,0,0,0,35,30
539105,Public,50,40,35,35,35,30,0,0
311090,Public,15,25,10,25,20,20,0,0
480785,Public,10,25,20,20,15,10,0,0
10340,Public,40,30,30,35,30,40,0,0
328910,Public,15,25,10,25,20,10,0,0
157909,Public,20,25,30,10,10,10,0,0
232544,Public,0,0,0,0,0,0,25,20
164941,Public,20,20,15,10,15,15,0,0
619655,Public,15,15,15,10,15,10,0,0
42108,Public,20,15,30,20,25,10,0,0
165484,Public,40,50,30,30,25,25,0,0
165476,Public,40,35,55,50,40,35,0,0
165425,Public,35,30,25,25,25,35,0,0
412543,Public,0,0,0,0,0,0,55,55
298133,Public,35,45,40,70,40,40,0,0
530476,Public,25,25,30,25,30,15,0,0
588462,Public,0,0,0,0,0,0,85,80
37753,Public,10,15,10,10,10,10,0,0
298572,Public,0,0,0,0,0,0,50,35
629646,Public,15,20,20,20,25,15,15,10
426502,Public,25,30,20,20,25,15,0,0
186910,Public,0,0,0,0,0,0,70,55
705128,Catholic,0,0,0,0,0,0,70,60
766928,Catholic,0,0,0,0,0,0,65,75
705497,Catholic,0,0,0,0,0,0,75,85
849732,Catholic,0,0,0,0,0,0,75,80
750468,Catholic,0,0,0,0,0,0,110,145
739984,Catholic,0,0,0,0,0,0,120,110
704997,Catholic,0,0,0,0,0,0,155,130
735092,Catholic,0,0,0,0,0,0,95,105
781231,Catholic,0,0,0,0,0,0,35,45
772491,Catholic,0,0,0,0,0,0,165,220
839486,Catholic,0,0,0,0,0,0,110,115
789369,Catholic,35,25,50,40,40,25,0,0
694100,Catholic,35,35,35,35,35,35,0,0
699764,Catholic,40,35,30,35,35,45,0,0
707910,Catholic,40,30,50,45,45,45,0,0
707970,Catholic,60,50,65,50,60,45,0,0
722510,Catholic,20,15,15,15,15,15,15,10
837115,Catholic,25,25,30,20,15,15,0,0
689705,Catholic,30,40,25,35,40,25,0,0
795917,Catholic,30,30,35,30,35,30,0,0
705411,Catholic,25,20,20,15,15,20,0,0
751842,Catholic,0,0,0,60,60,80,0,0
857072,Catholic,40,55,50,0,0,0,0,0
733555,Catholic,20,30,25,30,25,35,30,20
690007,Catholic,55,60,45,50,55,55,25,10
729949,Catholic,30,30,20,30,20,25,0,0
737330,Catholic,20,15,25,30,15,30,10,10
732080,Catholic,25,25,35,20,20,30,0,0
828752,Catholic,15,15,20,20,10,10,10,15
738166,Catholic,20,30,30,35,30,40,0,0
738190,Catholic,10,20,15,15,15,15,15,10
773943,Catholic,30,15,35,35,20,25,30,35
705330,Catholic,20,25,25,25,35,20,0,0
774642,Catholic,10,10,10,10,10,10,10,10
815640,Catholic,15,10,15,15,15,20,15,10
802662,Catholic,25,25,15,20,35,25,0,0
800490,Catholic,20,35,35,40,35,30,0,0
788438,Catholic,30,30,20,20,35,30,0,0
798223,Catholic,20,20,15,20,15,20,0,0
810398,Catholic,20,10,10,15,10,10,10,20
819026,Catholic,10,10,10,10,10,10,10,10
841308,Catholic,25,30,25,20,30,20,0,0
694632,Catholic,20,10,15,10,25,15,0,0
837180,Catholic,35,20,45,40,30,45,0,0
845744,Catholic,20,20,15,15,20,20,0,0
842524,Catholic,25,20,30,20,20,25,0,0
848808,Catholic,30,25,50,30,35,25,0,0
779909,Catholic,30,25,30,30,25,25,0,0
861529,Catholic,10,10,10,10,10,10,10,10
690740,Catholic,35,40,30,40,30,45,0,0
862525,Catholic,20,35,15,45,30,25,0,0
730211,Catholic,20,20,15,25,20,20,10,10
822671,Catholic,25,25,20,30,30,20,0,0
838632,Catholic,15,10,15,10,10,10,10,10
773557,Catholic,50,45,40,45,50,35,0,0
822000,Catholic,50,40,50,50,55,50,0,0
725714,Catholic,10,10,10,10,10,10,10,0
758965,Catholic,20,10,20,15,10,15,0,0
760021,Catholic,0,0,0,0,0,0,0,0
861391,Catholic,15,15,10,10,15,10,10,0
755532,Catholic,10,25,20,20,20,20,0,0
727270,Catholic,20,20,25,20,25,25,25,30
45253,Public,10,0,10,0,0,0,10,10
342432,Public,10,10,10,10,10,10,10,10
568961,Public,30,20,30,25,35,20,0,0
332100,Public,10,10,10,10,10,10,10,10
460338,Public,10,10,10,15,10,10,0,0
242853,Public,0,0,0,0,0,0,30,35
157325,Public,35,40,35,45,35,30,0,0
408735,Public,40,40,40,35,40,40,0,0
282898,Public,25,10,20,15,10,10,0,0
327425,Public,0,0,0,0,0,0,100,80
164909,Public,15,25,15,10,15,10,10,15
174882,Public,15,20,15,20,30,30,30,30
138720,Public,10,10,10,10,10,10,10,10
164925,Public,10,10,10,10,10,10,10,10
25977,Public,10,0,10,0,10,10,10,0
539197,Public,15,10,15,10,15,10,10,0
67321,Public,40,45,45,50,50,55,0,0
199737,Public,40,40,30,30,20,15,40,30
165182,Public,25,30,30,20,30,20,25,20
314242,Public,35,30,25,40,30,25,0,0
469165,Public,0,0,0,0,0,0,20,20
156230,Public,10,10,10,10,10,10,10,10
574724,Public,10,10,10,10,10,10,10,10
126258,Public,0,0,0,0,0,0,15,25
111532,Public,15,15,10,15,15,20,15,15
544636,Public,10,10,10,10,10,10,10,10
260926,Public,10,15,15,10,15,10,10,10
848662,Catholic,20,20,15,25,10,15,0,0
697605,Catholic,0,0,0,0,0,0,90,95
689730,Catholic,0,0,0,0,0,0,10,10
701580,Catholic,10,10,10,10,10,10,0,10
753068,Catholic,10,20,25,20,30,25,15,20
728101,Catholic,10,10,10,10,10,10,10,10
730440,Catholic,10,10,0,10,0,0,0,0
854590,Catholic,30,25,35,30,25,25,20,20
858366,Catholic,15,10,20,10,15,20,0,0
860441,Catholic,10,10,10,10,10,10,0,0
730335,Catholic,20,15,30,20,20,25,30,15
781255,Catholic,20,20,30,25,30,30,20,20
712592,Catholic,35,30,30,30,35,40,0,0
718815,Catholic,0,0,0,0,0,0,60,60
804392,Catholic,0,0,0,0,0,0,155,140
733228,Catholic,0,0,0,0,0,0,130,105
770396,Catholic,0,0,0,0,0,0,80,90
767894,Catholic,0,0,0,0,0,0,65,75
728807,Catholic,0,0,0,0,0,0,160,165
723592,Catholic,0,0,0,0,0,0,115,105
705225,Catholic,20,15,30,30,25,30,0,0
698202,Catholic,10,10,10,10,10,10,0,0
753297,Catholic,25,15,20,30,30,30,0,0
754102,Catholic,55,85,60,75,85,70,0,0
725668,Catholic,20,15,25,15,15,10,0,0
861367,Catholic,45,50,50,45,35,50,0,0
737208,Catholic,35,25,40,35,40,45,0,0
707465,Catholic,20,25,15,15,10,10,0,0
750034,Catholic,15,20,20,30,20,55,0,0
698075,Catholic,25,25,30,20,15,20,0,0
766321,Catholic,15,10,10,10,10,10,0,0
795186,Catholic,25,15,15,10,25,20,0,0
798304,Catholic,20,20,15,15,20,20,0,0
799998,Catholic,20,30,35,30,25,30,0,0
753840,Catholic,40,30,40,35,35,40,0,0
813257,Catholic,25,25,30,25,25,25,0,0
697680,Catholic,25,30,25,20,25,25,0,0
841595,Catholic,25,15,15,30,20,20,0,0
857327,Catholic,50,65,40,50,45,35,0,0
857459,Catholic,25,25,30,35,35,25,0,0
697940,Catholic,25,35,25,20,25,30,0,0
699373,Catholic,35,30,25,20,30,30,0,0
863696,Catholic,75,85,75,85,75,80,0,0
840947,Catholic,70,60,70,45,65,50,0,0
860443,Catholic,30,45,25,15,15,20,0,0
740225,Catholic,10,0,10,0,10,0,0,10
722421,Catholic,0,10,10,10,10,10,10,0
738417,Catholic,15,10,10,10,10,10,10,10
808440,Catholic,10,10,10,10,10,10,10,10
787779,Catholic,35,35,30,45,30,40,0,0
821950,Catholic,0,10,10,10,10,10,10,10
773778,Catholic,10,10,10,10,10,10,10,0
860515,Catholic,0,0,0,0,0,0,40,45
705708,Catholic,0,10,10,0,10,10,0,10
805076,Catholic,10,10,10,10,10,10,10,10
686638,Catholic,25,25,20,30,25,25,0,0
686760,Catholic,0,0,0,40,65,50,40,65
