School Number,School Type,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment
914010,Public,160,170,140,205
897646,Public,245,220,195,320
914517,Public,230,245,205,260
921750,Public,175,160,155,175
922854,Public,10,10,10,175
935700,Public,100,95,100,110
942464,Public,225,215,230,260
944157,Public,155,115,120,195
945064,Public,155,165,140,205
948055,Public,160,155,165,200
947180,Public,235,225,195,280
952214,Public,155,155,125,190
902292,Public,45,45,60,50
908924,Public,35,45,30,45
916293,Public,10,10,10,10
918288,Public,35,40,30,40
919063,Public,60,45,35,65
920363,Public,80,100,70,125
933287,Public,0,10,10,20
943509,Public,80,70,60,80
946940,Public,130,115,135,140
948578,Public,150,145,145,195
687308,Catholic,165,160,180,180
749813,Catholic,375,410,360,380
850888,Catholic,290,295,325,350
706957,Catholic,255,260,240,335
718114,Catholic,145,175,135,155
722790,Catholic,150,140,140,200
724564,Catholic,170,165,165,170
798118,Catholic,230,285,275,305
690694,Catholic,360,380,340,410
742333,Catholic,275,275,345,400
751430,Catholic,265,285,270,300
753211,Catholic,345,315,290,280
767255,Catholic,405,415,445,480
775606,Catholic,245,245,210,295
788511,Catholic,470,455,435,450
792594,Catholic,470,455,440,485
806919,Catholic,265,265,300,325
821381,Catholic,405,430,455,475
822655,Catholic,300,280,340,380
823953,Catholic,265,230,250,270
841730,Catholic,160,145,105,130
854530,Catholic,375,360,385,450
696056,Catholic,250,290,295,300
864570,Catholic,215,245,245,280
736228,Catholic,0,10,10,175
784979,Catholic,325,370,375,410
685984,Catholic,290,290,325,265
703923,Catholic,175,145,120,170
682867,Catholic,0,0,10,20
710083,Catholic,275,245,245,240
735060,Catholic,105,80,80,95
741310,Catholic,250,190,235,260
738050,Catholic,260,250,265,270
826278,Catholic,325,315,350,370
890855,Public,285,310,265,295
892025,Public,175,155,160,190
896446,Public,105,95,85,110
934991,Public,345,320,350,335
931673,Public,325,490,455,585
904392,Public,450,425,425,370
905674,Public,360,315,345,370
905585,Public,10,15,30,275
906565,Public,265,235,225,235
911291,Public,105,105,105,100
916331,Public,230,205,200,230
918423,Public,425,405,370,390
932345,Public,345,365,320,395
932329,Public,305,305,315,320
935310,Public,400,445,405,420
935360,Public,260,220,245,245
936227,Public,250,205,220,230
937525,Public,310,285,260,275
941603,Public,280,280,255,260
948969,Public,245,250,275,265
896187,Public,245,235,255,335
899046,Public,125,125,120,155
903728,Public,125,135,115,200
906069,Public,80,60,70,130
891304,Public,0,10,10,25
915033,Public,60,75,70,155
898007,Public,145,170,155,220
930245,Public,255,250,250,380
933490,Public,195,200,210,280
934402,Public,195,180,175,295
941557,Public,165,150,145,220
916412,Public,45,55,60,100
949035,Public,85,90,105,125
950785,Public,90,75,90,115
929727,Public,215,190,195,230
909440,Public,195,155,180,195
900532,Public,0,10,10,10
911780,Public,145,140,160,165
917249,Public,200,225,205,260
920100,Public,170,145,185,170
922188,Public,225,200,215,290
939218,Public,225,235,230,225
939765,Public,275,235,260,255
902299,Public,215,190,160,185
949612,Public,510,450,475,500
950009,Public,175,135,150,180
950394,Public,200,180,185,205
951927,Public,55,40,55,70
918806,Public,150,115,110,175
953822,Public,0,0,10,180
