School Number,Year,School Type,School Level,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment
896969,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,25,25,30,25
169200,2021-2022,Public,Elementary,30,40,30,40,30,35,30,40,0,0,0,0
135143,2021-2022,Public,Elementary,25,25,25,30,20,20,0,0,0,0,0,0
458554,2021-2022,Public,Elementary,80,80,0,0,0,0,0,0,0,0,0,0
331307,2021-2022,Public,Elementary,70,70,80,85,85,85,75,90,0,0,0,0
167649,2021-2022,Public,Elementary,20,20,20,15,25,25,20,20,0,0,0,0
293776,2021-2022,Public,Elementary,50,40,35,40,25,30,0,0,0,0,0,0
524239,2021-2022,Public,Elementary,40,40,40,40,30,35,15,35,0,0,0,0
180789,2021-2022,Public,Elementary,65,85,80,75,60,75,60,65,0,0,0,0
925438,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,100,80,60,90
914444,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,165,150,140,175
281131,2021-2022,Public,Elementary,60,35,45,45,50,50,10,10,0,0,0,0
253316,2021-2022,Public,Elementary,45,25,40,25,35,35,35,35,0,0,0,0
152820,2021-2022,Public,Elementary,0,0,65,65,70,65,65,70,0,0,0,0
257168,2021-2022,Public,Elementary,15,15,15,10,15,10,10,10,0,0,0,0
257869,2021-2022,Public,Elementary,40,35,40,55,30,70,105,95,0,0,0,0
262935,2021-2022,Public,Elementary,35,30,30,25,30,40,45,25,0,0,0,0
273775,2021-2022,Public,Elementary,0,0,70,75,70,80,0,0,0,0,0,0
915556,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,140,150,165,190
7681,2021-2022,Public,Elementary,0,0,0,0,0,0,90,80,0,0,0,0
291030,2021-2022,Public,Elementary,55,35,60,60,65,35,0,0,0,0,0,0
