School Number,Year,School Type,School Level,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment,Total Enrolment
175170,2019-2020,Public,Elementary,40,25,35,30,45,35,45,45,0,0,0,0,300
190527,2019-2020,Public,Elementary,45,30,50,40,45,50,0,0,0,0,0,0,260
953776,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,140,125,140,185,590
181908,2019-2020,Public,Elementary,0,0,0,0,0,0,60,85,0,0,0,0,145
450242,2019-2020,Public,Elementary,0,0,0,0,0,0,65,70,0,0,0,0,135
913600,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,90,90,85,145,410
478133,2019-2020,Public,Elementary,70,55,75,65,60,75,0,0,0,0,0,0,400
242527,2019-2020,Public,Elementary,25,30,10,20,20,30,0,0,0,0,0,0,135
268003,2019-2020,Public,Elementary,35,20,40,25,50,25,35,35,0,0,0,0,265
268640,2019-2020,Public,Elementary,20,30,25,25,30,30,25,20,0,0,0,0,205
273694,2019-2020,Public,Elementary,35,35,45,35,35,30,50,40,0,0,0,0,305
923095,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,205,205,205,290,905
163619,2019-2020,Public,Elementary,35,50,35,40,35,40,0,0,0,0,0,0,235
285535,2019-2020,Public,Elementary,60,60,60,60,55,60,0,0,0,0,0,0,355
517103,2019-2020,Public,Elementary,65,50,65,65,65,65,0,0,0,0,0,0,375
366021,2019-2020,Public,Elementary,30,30,30,35,30,30,20,25,0,0,0,0,230
135064,2019-2020,Public,Elementary,0,0,0,0,0,0,90,90,0,0,0,0,180
927120,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,65,80,75,95,315
372781,2019-2020,Public,Elementary,30,20,25,25,25,25,20,20,0,0,0,0,190
406040,2019-2020,Public,Elementary,15,15,20,10,20,20,15,20,0,0,0,0,135
459441,2019-2020,Public,Elementary,50,45,45,60,55,50,100,95,0,0,0,0,500
578519,2019-2020,Public,Elementary,20,20,20,15,20,10,0,0,0,0,0,0,105
490040,2019-2020,Public,Elementary,10,15,15,15,25,15,0,0,0,0,0,0,95
